driverRef,qualifying_position,past_wins,is_winner
cesaris,15,0.0,0
brundle,13,0.0,0
barrichello,1,0.0,0
katayama,23,0.0,0
adams,26,0.0,0
berger,11,0.0,0
alliot,19,0.0,0
frentzen,9,0.0,0
comas,22,0.0,0
alesi,5,0.0,0
damon_hill,3,0.0,0
berger,2,0.0,0
hakkinen,7,0.0,0
barrichello,16,0.0,0
brundle,15,0.0,0
coulthard,5,0.0,0
bernard,12,0.0,0
comas,24,0.0,0
lehto,20,0.0,0
panis,6,0.0,0
brabham,26,0.0,0
katayama,14,0.0,0
fittipaldi,19,0.0,0
irvine,9,0.0,0
blundell,21,0.0,0
martini,18,0.0,0
alboreto,22,0.0,0
frentzen,11,0.0,0
cesaris,8,0.0,0
gounon,25,0.0,0
dalmas,23,0.0,0
alesi,1,0.0,0
herbert,4,0.0,0
verstappen,10,0.0,0
zanardi,13,0.0,0
morbidelli,17,0.0,0
damon_hill,2,0.0,0
coulthard,3,0.0,0
hakkinen,4,0.0,0
barrichello,8,0.0,0
verstappen,10,0.0,0
brundle,7,0.0,0
irvine,13,0.0,0
fittipaldi,11,0.0,0
morbidelli,16,0.0,0
bernard,21,0.0,0
herbert,20,0.0,0
martini,18,0.0,0
alboreto,19,0.0,0
dalmas,23,0.0,0
gounon,26,0.0,0
adams,25,0.0,0
panis,15,0.0,0
blundell,12,0.0,0
lehto,14,0.0,0
cesaris,17,0.0,0
alesi,5,0.0,0
brabham,24,0.0,0
frentzen,9,0.0,0
comas,22,0.0,0
katayama,6,0.0,0
berger,1,0.0,0
michael_schumacher,1,0.0,0
damon_hill,2,0.0,0
hakkinen,9,0.0,0
irvine,10,0.0,0
berger,6,0.0,0
frentzen,4,0.0,0
katayama,13,0.0,0
herbert,7,0.0,0
panis,11,0.0,0
alesi,16,0.0,0
morbidelli,8,0.0,0
barrichello,5,0.0,0
blundell,14,0.0,0
alboreto,20,0.0,0
martini,17,0.0,0
zanardi,21,0.0,0
fittipaldi,19,0.0,0
